"ID_PESSOA_FISICA","ID_PESSOA","NOME","CPF","DT_NASC"
1,1,"João da Silva","12345678901",15/06/85
2,2,"Maria Oliveira","23456789012",20/03/90
3,3,"Carlos Souza","34567890123",10/11/82
4,4,"Ana Costa","45678901234",05/01/95
5,5,"Lucas Pereira","56789012345",25/07/88
6,6,"Fernanda Martins","67890123456",12/12/92
7,7,"Paulo Alves","78901234567",30/04/80
8,8,"Juliana Fernandes","89012345678",19/08/93
9,9,"Rafael Gomes","90123456789",03/09/87
10,10,"Tatiane Lima","01234567890",22/10/91
11,11,"Maria da Silva","11122233344",15/03/90
12,12,"João Souza","22233344455",22/07/85
13,13,"Ana Pereira","33344455566",10/01/92
14,14,"Carlos Martins","44455566677",05/12/80
15,15,"Juliana Lima","55566677788",09/09/95
16,16,"Lucas Oliveira","66677788899",30/06/91
17,17,"Mariana Ramos","77788899900",14/02/88
18,18,"Fernando Alves","88899900011",08/08/83
19,19,"Patrícia Gomes","99900011122",27/04/96
20,20,"Rodrigo Teixeira","00011122233",19/11/79
